Indice,Saison,Emissions,Horizon,Percentile,Valeur
Degrés-jours de croissance ,Annuel,Obs,1981-2010,Obs,2396.2
Indice de gel ,Annuel,Obs,1981-2010,Obs,869.639
Événements de gel-dégel ,Annuel,Obs,1981-2010,Obs,73.124
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),Obs,1981-2010,Obs,0.038
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p10,2727.793
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p50,2954.701
Degrés-jours de croissance ,Annuel,rcp45,2041-2070,p90,3051.711
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p10,2754.274
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p50,3097.55
Degrés-jours de croissance ,Annuel,rcp45,2071-2100,p90,3232.062
Indice de gel ,Annuel,rcp85,2041-2070,p10,406.612
Indice de gel ,Annuel,rcp85,2041-2070,p50,510.124
Indice de gel ,Annuel,rcp85,2041-2070,p90,581.179
Indice de gel ,Annuel,rcp85,2071-2100,p10,214.712
Indice de gel ,Annuel,rcp85,2071-2100,p50,332.705
Indice de gel ,Annuel,rcp85,2071-2100,p90,407.691
Indice de gel ,Annuel,rcp45,2041-2070,p10,479.692
Indice de gel ,Annuel,rcp45,2041-2070,p50,621.936
Indice de gel ,Annuel,rcp45,2041-2070,p90,714.035
Indice de gel ,Annuel,rcp45,2071-2100,p10,412.326
Indice de gel ,Annuel,rcp45,2071-2100,p50,559.944
Indice de gel ,Annuel,rcp45,2071-2100,p90,656.654
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p10,2929.867
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p50,3101.934
Degrés-jours de croissance ,Annuel,rcp85,2041-2070,p90,3301.117
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p10,3253.507
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p50,3697.307
Degrés-jours de croissance ,Annuel,rcp85,2071-2100,p90,3988.335
Nombre de vagues de chaleur ,Classe 2 (Tmin > 18°C; Tmax > 31°C),Obs,1981-2010,Obs,0.326
Nombre de vagues de chaleur ,Classe 3 (Tmin > 16°C; Tmax > 31°C),Obs,1981-2010,Obs,0.467
Événements de gel-dégel ,Automne,Obs,1981-2010,Obs,20.021
Événements de gel-dégel ,Été,Obs,1981-2010,Obs,0.003
Événements de gel-dégel ,Hiver,Obs,1981-2010,Obs,25.429
Événements de gel-dégel ,Printemps,Obs,1981-2010,Obs,27.614
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p10,58.2
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p50,60.815
Événements de gel-dégel ,Annuel,rcp45,2041-2070,p90,69.923
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p10,56.07
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p50,59.983
Événements de gel-dégel ,Annuel,rcp45,2071-2100,p90,63.148
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p10,54.382
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p50,60.312
Événements de gel-dégel ,Annuel,rcp85,2041-2070,p90,67.909
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p10,47.856
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p50,52.836
Événements de gel-dégel ,Annuel,rcp85,2071-2100,p90,65.12
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p10,0.627
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p50,1.324
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2041-2070,p90,2.459
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p10,2.003
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p50,3.77
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp85,2071-2100,p90,6.123
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p10,0.147
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p50,0.57
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2041-2070,p90,1.221
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p10,0.242
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p50,0.965
Nombre de vagues de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),rcp45,2071-2100,p90,1.542
Nombre de jours de vague de chaleur ,Classe 1 (Tmin > 20°C; Tmax > 33°C),Obs,1981-2010,Obs,0.121
